appliance,category,subcategory,household,dwelling,tenure,purpose,mode,fuel,units 1,units 2,units 3,units 4
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-1,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-2,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-3,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-4,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-5,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-top-solid-6+,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-1,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-2,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-3,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-4,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-5,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-cavity-6+,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-1,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-2,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-3,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-4,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-5,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-F,heating,gas-boiler-sub,household,flat-non-top-solid-6+,*,water-heating,*,water-heating-gas,1201,1201,1201,1201
gas-standard-boiler-G,heating,gas-boiler-sub,household,bung-det-cavity-1,*,water-heating,*,water-heating-gas,1414,1414,1414,1414
gas-standard-boiler-G,heating,gas-boiler-sub,household,bung-det-cavity-2,*,water-heating,*,water-heating-gas,1414,1414,1414,1414
gas-standard-boiler-G,heating,gas-boiler-sub,household,bung-det-cavity-3,*,water-heating,*,water-heating-gas,1414,1414,1414,1414
gas-standard-boiler-G,heating,gas-boiler-sub,household,bung-det-cavity-4,*,water-heating,*,water-heating-gas,1414,1414,1414,1414
